id,brand_name,items_Decribtion,ratings,prices,Category
76,Intel,Intel Core i7-4770K Haswell Quad-Core 3.5 GHz LGA 1150 84W BX80646I74770K Desktop Processor Intel HD Graphics,(2),349.22,cpu
77,Intel,Intel Core i9-9920X Skylake X 12-Core 3.5 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99920X Desktop Processor,(1),"4,232.86",cpu
78,Intel,Intel Core i7-6700 Skylake Quad-Core 3.4 GHz LGA 1151 65W BX80662I76700 Desktop Processor,(1),637.78,cpu
79,Intel,Intel Core i9-9820X Skylake X 10-Core 3.3 GHz (4.1 GHz Turbo) LGA 2066 165W BX80673I99820X Desktop Processor,(7),258.58,cpu
80,Intel,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,(3),192.99,cpu
81,AMD,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,(1),"2,445.77",cpu
82,Intel,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,(48),"1,086.23",cpu
83,Intel,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,(121),229.99,cpu
84,Intel,Intel Core i7-4790S Haswell Quad-Core 3.2 GHz LGA 1150 65W BX80646I74790S Desktop Processor Intel HD Graphics 4600,,"3,907.34",cpu
85,Intel,Intel Celeron G4930 Coffee Lake Dual-Cor 3.2 GHz LGA 1151 (300 Series) 54W BX80684G4930 Desktop Processor Intel UHD Graphics 610,,390.87,cpu
86,AMD,Intel Core i5-7640X Kaby Lake-X Quad-Core 4.0 GHz LGA 2066 112W BX80677I57640X Desktop Processor,,150.00,cpu
87,Intel,Refurbished: Intel E8500 Wolfdale Dual-Core 3.167 GHz LGA 775 65W AT80570PJ0876M Desktop Processor,,247.47,cpu
88,AMD,Intel Core i3-4130 Haswell Dual-Core 3.4 GHz LGA 1150 54W BX80646I34130 Desktop Processor Intel HD Graphics 4400,,189.42,cpu
89,AMD,Intel Core i9-7920X Skylake X 12-Core 2.9 GHz LGA 2066 140W BX80673I97920X Desktop Processor,,41.26,cpu
90,AMD,Intel Core i3-4340 Haswell Dual-Core 3.6 GHz LGA 1150 54W BX80646I34340 Desktop Processor Intel HD Graphics 4600,,59.97,cpu
91,AMD,Intel Celeron G1820 Processor 2.7GHz LGA1150 CPU with Air CPU Cooler OEM,,234.44,cpu
92,AMD,Refurbished: Intel Wolfdale Dual-Core 2.93 GHz LGA 775 65W Desktop ProcessorAT80571PH0773M never used. Replacement only.,,112.49,cpu
93,AMD,AMD Ryzen 9 3900X Matisse 12-Core 3.8 GHz Socket AM4 105W 100-100000023BOX Desktop Processor,,275.70,cpu
94,AMD,Intel Core i5-7500T Quad-core (4 Core) 2.70 GHz Processor - Socket H4 LGA-1151 Retail Pack - 1MB - 6MB Cache - 8 GT/s DMI - 64-bit Processing - 3.30 GHz Overclocking Speed - 14 nm,,48.72,cpu
95,AMD,Refurbished: Intel Pentium G2140 Ivy Bridge Dual-Core 3.3 GHz LGA 1155 55W Desktop Processor Intel HD Graphics,,63.76,cpu
96,Intel,"INTEL XEON PROCESSOR E5-2640 V4 (25M CACHE, 2.40 GHZ)",,159.11,cpu
97,Intel,Intel Optane M.2 2280 32GB PCIe NVMe 3.0 x2 Memory Module/System Accelerator MEMPEK1W032GAXT,,"1,014.82",cpu
98,AMD,Refurbished: AMD Phenom II X4 960T Zosma Quad-Core 3.0GHz (3.4GHz Turbo Boost) Socket AM3 95W HD96ZTWFK4DGR Desktop Processor,,131.28,cpu
99,AMD,Refurbished: Intel Core i5-2400 Sandy Bridge Quad-Core 3.1 GHz (3.4 GHz Turbo Boost) LGA 1155 95W Desktop Processor Like New,,48.72,cpu
100,AMD,Refurbished: AMD A10-5800K Trinity Quad-Core 3.8 GHz Socket FM2 AD580KWOA44HJ Desktop Processor,,70.82,cpu
101,AMD,Refurbished: AMD Athlon II X2 245 Regor Dual-Core 2.9 GHz Socket AM3 65W ADX245OCK23GM Desktop Processor - OEM Grade A,,55.81,cpu
102,AMD,Refurbished: AMD Athlon II X3 440 Rana Triple-Core 3.0 GHz Socket AM3 95W ADX440WFK32GM Desktop Processors,,37.47,cpu
103,AMD,Refurbished: AMD AD7600YBJABOX A8-7600 Socket FM2+ Kaveri Quad-Core 3.1GHz CPU Processor,,97.34,cpu
104,AMD,Refurbished: AMD Athlon II X4 620 Propus Quad-Core 2.6 GHz Socket AM3 95W ADX620WFK42GI DesktopProcessor,,37.47,cpu
